state,margin,start_date,end_date,mid_date,pop,polling_org,affiliation
AK,-12.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
AZ,-1.0,2016-01-07,2016-01-17,2016-01-12,590,Behavior Research Center,
AZ,-15.0,2015-12-04,2015-12-09,2015-12-06,504,Strategies 360,
AZ,-13.0,2015-08-13,2015-08-16,2015-08-14,1433,Gravis Marketing,
CO,8.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
FL,-7.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
FL,-6.0,2015-09-11,2015-09-13,2015-09-12,814,PPP,D
FL,-12.0,2015-03-03,2015-03-05,2015-03-04,800,Mason-Dixon,
IA,-8.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
IL,4.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
IL,6.0,2015-07-20,2015-07-21,2015-07-20,931,PPP,D
IL,17.0,2015-06-23,2015-06-23,2015-06-23,598,Ogden & Fry,
IN,14.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
LA,-8.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
MO,-4.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
MO,-5.0,2015-08-07,2015-08-09,2015-08-08,859,PPP,D
NC,-8.0,2016-02-14,2016-02-16,2016-02-15,1250,SurveyUSA,
NC,-6.0,2016-02-14,2016-02-16,2016-02-15,1291,PPP,D
NC,-4.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
NH,-4.0,2016-02-20,2016-02-28,2016-02-24,597,UNH,
NH,-7.0,2016-01-15,2016-01-18,2016-01-16,1197,Gravis Marketing,
NH,-2.0,2016-01-04,2016-01-06,2016-01-05,1036,PPP,D
NV,0.0,2016-01-01,2016-01-01,2016-01-01,1,FAKE: Assumption,
OH,2.0,2016-02-16,2016-02-20,2016-02-18,1539,Quinnipiac,
OH,-4.0,2016-02-11,2016-02-20,2016-02-15,825,Baldwin Wallace University,
OH,0.0,2015-10-24,2015-10-28,2015-10-26,400,GQR,D
PA,-7.0,2015-10-08,2015-10-11,2015-10-09,1012,PPP,D
PA,-20.0,2015-09-25,2015-10-05,2015-09-30,1049,Quinnipiac,
PA,-14.0,2015-09-09,2015-09-10,2015-09-09,700,Harper,R
WI,12.0,2016-02-18,2016-02-21,2016-02-19,802,Marquette Law School,
WI,5.0,2015-10-24,2015-10-28,2015-10-26,400,GQR,D
WI,11.0,2015-10-14,2015-10-17,2015-10-15,603,St Norbert,
